priority,content_type,decision,action_status,current_path,target_path,current_url,target_url,clicks,impressions,avg_position,seo_signal,notes
P2,Página,MANTENER,create_or_migrate,/estatutos/,/estatutos/,https://musicartes.org/estatutos/,https://musicartes.org/estatutos/,-,-,-,⚪ Sin datos GSC,No aparece en GSC. Documento institucional obligatorio. Verificar indexación.
P0,Página,FUSIONAR,merge_then_redirect,/algunos-socios/,/socios-activos/,https://musicartes.org/algunos-socios/,https://musicartes.org/socios-activos/,3,74,6.2,🔴 Duplicado,3 clicks. Redundante con /socios-activos/. Fusionar o redirigir. Valor como galería de artistas conocidos.
P2,Página,MANTENER,create_or_migrate,/socios-honorarios/,/socios-honorarios/,https://musicartes.org/socios-honorarios/,https://musicartes.org/socios-honorarios/,2,205,10.5,⚪ Baja - institucional,2 clicks. Página institucional única. Mantener como reconocimiento.
P2,Página,MANTENER,create_or_migrate,/estados-financieros/,/estados-financieros/,https://musicartes.org/estados-financieros/,https://musicartes.org/estados-financieros/,0,46,3.5,⚪ Institucional,"0 clicks, 46 imp. Obligación de transparencia institucional. Mantener."
P2,Página,MANTENER,create_or_migrate,/estados-financieros/estados-financieros-2017/,/estados-financieros/estados-financieros-2017/,https://musicartes.org/estados-financieros/estados-financieros-2017/,https://musicartes.org/estados-financieros/estados-financieros-2017/,1,85,9.8,⚪ Muy baja,1 click. Sub-página de transparencia. Mantener estructura.
P2,Página,MANTENER,create_or_migrate,/estados-financieros/estados-financieros-2018/,/estados-financieros/estados-financieros-2018/,https://musicartes.org/estados-financieros/estados-financieros-2018/,https://musicartes.org/estados-financieros/estados-financieros-2018/,0,33,5.4,⚪ Muy baja,0 clicks. Mantener por transparencia institucional.
P2,Página,MANTENER,create_or_migrate,/memoria-de-labores/,/memoria-de-labores/,https://musicartes.org/memoria-de-labores/,https://musicartes.org/memoria-de-labores/,0,18,7.6,⚪ Institucional,"0 clicks, 18 imp. Obligación de rendición de cuentas. Mantener."
REDIRECT,Página,REDIRIGIR,redirect,/labores-2019/,/memoria-de-labores/,https://musicartes.org/labores-2019/,https://musicartes.org/memoria-de-labores/,-,-,-,⚪ Sin datos - URL sucia,No aparece en GSC. URL irregular (labores-2019). Redirigir a /memoria-de-labores/ y consolidar.
P2,Página,MANTENER,create_or_migrate,/presidente/,/presidente/,https://musicartes.org/presidente/,https://musicartes.org/presidente/,5,264,6.5,⚪ Baja,"5 clicks, pos 6.5. Perfil institucional."
P2,Página,MANTENER,create_or_migrate,/secretario/,/secretario/,https://musicartes.org/secretario/,https://musicartes.org/secretario/,1,102,6.7,⚪ Muy baja,1 click. Perfil institucional.
P2,Página,MANTENER,create_or_migrate,/elecciones-2026/,/elecciones-2026/,https://musicartes.org/elecciones-2026/,https://musicartes.org/elecciones-2026/,5,48,4.3,🟡 Alta - coyuntural,"5 clicks, CTR 10.4%, pos 4.3. Alta relevancia coyuntural. Muy buscada por socios."
P2,Página,MANTENER,create_or_migrate,/convocatoria/,/convocatoria/,https://musicartes.org/convocatoria/,https://musicartes.org/convocatoria/,1,37,5.2,⚪ Baja,1 click. Página de convocatorias. Mantener URL limpia.
P2,Página,MANTENER,create_or_migrate,/calendario-y-bases/,/calendario-y-bases/,https://musicartes.org/calendario-y-bases/,https://musicartes.org/calendario-y-bases/,0,47,6.5,⚪ Baja,"0 clicks, 47 imp. Potencial para búsquedas de músicos. Optimizar."
REDIRECT,Página,FUSIONAR,merge_then_redirect,/noticias/,/blog/,https://musicartes.org/noticias/,https://musicartes.org/blog/,0,44,9.4,🔴 Redundante con blog,"0 clicks, 44 imp. Duplica función del blog. En Astro unificar en /blog/ o /noticias/."
P2,Página,MANTENER,create_or_migrate,/prensa/,/prensa/,https://musicartes.org/prensa/,https://musicartes.org/prensa/,-,-,-,⚪ Sin datos GSC,No aparece en GSC. Página de sala de prensa. Verificar contenido y si vale la pena mantenerla.
P2,Página,MANTENER,create_or_migrate,/blog/,/blog/,https://musicartes.org/blog/,https://musicartes.org/blog/,0,52,13.8,🟡 Estructural - hub blog,0 clicks pero indexado. Es el hub del blog. En Astro mantener esta URL exacta como listado de posts.
P2,Página,MANTENER,create_or_migrate,/talleres/,/talleres/,https://musicartes.org/talleres/,https://musicartes.org/talleres/,-,-,-,⚪ Sin datos GSC,No aparece en GSC. Hub de talleres/cursos. Verificar si tiene contenido activo.
P2,Página,MANTENER,create_or_migrate,/login/,/login/,https://musicartes.org/login/,https://musicartes.org/login/,1,75,2.8,🟢 Funcional,"1 click, pos 2.8. Funcional para socios. Mantener URL."
P0,Página,ELIMINAR,redirect_or_410,/hazte-socio-obras/,/hazte-socio/,https://musicartes.org/hazte-socio-obras/,https://musicartes.org/hazte-socio/,1,49,4.7,🔴 URL interna expuesta,1 click. URL interna de flujo de registro. No debe ser indexable. Redirigir a /hazte-socio/ o noindex.
P0,Página,ELIMINAR,redirect_or_410,/hazte-socio-uploads/,/hazte-socio/,https://musicartes.org/hazte-socio-uploads/,https://musicartes.org/hazte-socio/,-,-,-,🔴 URL interna,No aparece en GSC. URL interna de flujo de registro. Misma situación que hazte-socio-obras.
REDIRECT,Página,ELIMINAR,redirect_or_410,/agregar-obras/,/zona-de-socios/,https://musicartes.org/agregar-obras/,https://musicartes.org/zona-de-socios/,-,-,-,🔴 URL interna,"No aparece en GSC. Funcionalidad interna de socios. Debe estar detrás de login, no indexable."
P0,Página,MANTENER,create_or_migrate,/vinicio-quezada/,/vinicio-quezada/,https://musicartes.org/vinicio-quezada/,https://musicartes.org/vinicio-quezada/,82,972,4,🟢 Alta - muy buscado,"82 clicks, CTR 8.4%, pos 4.0. Segundo perfil más buscado del sitio. Actualizar con bio completa."
P0,Página,MANTENER,create_or_migrate,/roberto-rey/,/roberto-rey/,https://musicartes.org/roberto-rey/,https://musicartes.org/roberto-rey/,72,2230,4.8,🟢 Alta,"72 clicks, CTR 3.2%, pos 4.8. Tercer perfil más visitado. Alta demanda."
P0,Página,MANTENER,create_or_migrate,/fernando-perez/,/fernando-perez/,https://musicartes.org/fernando-perez/,https://musicartes.org/fernando-perez/,35,1061,7.2,🟡 Media-alta,"35 clicks, pos 7.2. Músico con clases activas. Vincular a /clases-con-fernando-perez/."
P0,Página,MANTENER,create_or_migrate,/juan-carlos-sanchez/,/juan-carlos-sanchez/,https://musicartes.org/juan-carlos-sanchez/,https://musicartes.org/juan-carlos-sanchez/,26,2333,6.9,🟡 Media,"26 clicks, 2333 imp, pos 6.9. Buena demanda. Actualizar bio."
P2,Página,MANTENER,create_or_migrate,/carlos-duarte/,/carlos-duarte/,https://musicartes.org/carlos-duarte/,https://musicartes.org/carlos-duarte/,6,939,7.2,⚪ Baja,"6 clicks, 939 imp. Mantener con bio actualizada."
P2,Página,MANTENER,create_or_migrate,/byron-sosa/,/byron-sosa/,https://musicartes.org/byron-sosa/,https://musicartes.org/byron-sosa/,6,237,4.7,⚪ Baja,"6 clicks, CTR 2.5%, pos 4.7. Mantener."
REDIRECT,Página,FUSIONAR,merge_then_redirect,/guillermo-de-leon-ruiz/,/guillermo-de-leon-ruiz/,https://musicartes.org/guillermo-de-leon-ruiz/,https://musicartes.org/guillermo-de-leon-ruiz/,3,1132,7,🟡 Consolidar,3 clicks. Existe también /fallece-el-maestro-guillermo-de-leon-ruiz/. Consolidar en perfil + nota de fallecimiento.
REDIRECT,Blog,ELIMINAR,redirect_or_410,/fallece-el-maestro-guillermo-de-leon-ruiz/,/guillermo-de-leon-ruiz/,https://musicartes.org/fallece-el-maestro-guillermo-de-leon-ruiz/,https://musicartes.org/guillermo-de-leon-ruiz/,1,206,5.2,🟡 Fusionar con perfil,"1 click, 206 imp. Fusionar con perfil del maestro. Redirigir esta URL al perfil."
P2,Página,MANTENER,create_or_migrate,/german-giordano-2/,/german-giordano/,https://musicartes.org/german-giordano-2/,https://musicartes.org/german-giordano/,-,-,-,🔴 URL sucia (-2),No aparece en GSC. URL con sufijo -2 es señal de duplicado en WordPress. Revisar y limpiar URL.
P2,Página,MANTENER,create_or_migrate,/clases-con-fernando-perez/,/clases-con-fernando-perez/,https://musicartes.org/clases-con-fernando-perez/,https://musicartes.org/clases-con-fernando-perez/,8,103,5.9,🟢 Eficiente,"8 clicks, CTR 7.8%, pos 5.9. Muy eficiente. Vincular desde perfil Fernando Pérez."
REDIRECT,PDF,SE MOVERA A OTRO HOSTING,external_asset,/wp-content/uploads/2021/12/Escritura-Constitutiva-MUSICARTES.pdf,/documentos/escritura-constitutiva.pdf,https://musicartes.org/wp-content/uploads/2021/12/Escritura-Constitutiva-MUSICARTES.pdf,https://musicartes.org/documentos/escritura-constitutiva.pdf,2,27,3.7,⚪ Legal - conservar,"2 clicks, CTR 7.4%. Documento legal indexado. En Astro crear /documentos/ para centralizar PDFs institucionales."
REDIRECT,PDF,SE MOVERA A OTRO HOSTING,external_asset,/wp-content/uploads/2022/01/Formato-Acta-Notarial-*.pdf,/documentos/formato-acta-notarial.pdf,https://musicartes.org/wp-content/uploads/2022/01/Formato-Acta-Notarial-*.pdf,https://musicartes.org/documentos/formato-acta-notarial.pdf,1,25,8,⚪ Electoral,1 click. Documento electoral. Centralizar en /documentos/.
REDIRECT,PDF,SE MOVERA A OTRO HOSTING,external_asset,/wp-content/uploads/2018/05/Estados-Finacieros-MUSICARTES-*.pdf,/documentos/estados-financieros-2018.pdf,https://musicartes.org/wp-content/uploads/2018/05/Estados-Finacieros-MUSICARTES-*.pdf,https://musicartes.org/documentos/estados-financieros-2018.pdf,1,2,5,⚪ Financiero,1 click. PDF de estados financieros. Centralizar.
P0,Blog,MANTENER,create_or_migrate,/los-generos-musicales-mas-escuchados/,/los-generos-musicales-mas-escuchados/,https://musicartes.org/los-generos-musicales-mas-escuchados/,https://musicartes.org/los-generos-musicales-mas-escuchados/,419,43341,4.4,🟢🌟 Estrella absoluta,"🌟 POST ESTRELLA: 419 clicks, 43,341 imp, pos 4.4. El mejor post del blog por lejos. Actualizar anualmente con año en título."
P1,Blog,REESCRIBIR,rewrite,/ocho-consejos-para-ser-un-excelente-frontman/,/ocho-consejos-para-ser-un-excelente-frontman/,https://musicartes.org/ocho-consejos-para-ser-un-excelente-frontman/,https://musicartes.org/ocho-consejos-para-ser-un-excelente-frontman/,17,7019,3.9,🟡 Alto potencial - mejorar CTR,"17 clicks pero 7,019 imp con pos 3.9. CTR bajo (0.24%) = título/meta no atractivo. Gran potencial con reescritura."
P1,Blog,REESCRIBIR,rewrite,/como-escribir-una-biografia-musical-efectiva/,/como-escribir-una-biografia-musical-efectiva/,https://musicartes.org/como-escribir-una-biografia-musical-efectiva/,https://musicartes.org/como-escribir-una-biografia-musical-efectiva/,23,4827,5.5,🟡 Media-alta - actualizar,"23 clicks, 4,827 imp, pos 5.5. Buen volumen. Reescribir con ejemplos y estructura actualizada."
P1,Blog,REESCRIBIR,rewrite,/dia-nacional-de-la-marimba/,/dia-nacional-de-la-marimba/,https://musicartes.org/dia-nacional-de-la-marimba/,https://musicartes.org/dia-nacional-de-la-marimba/,8,4447,4.4,🟡 Alto potencial - CTR bajo,"8 clicks pero 4,447 imp, pos 4.4. CTR muy bajo (0.18%). Contenido estacional. Ampliar con historia, videos."
P1,Blog,MANTENER,create_or_migrate,/historia-de-la-marimba-en-guatemala-la-madera-que-canta/,/historia-de-la-marimba-en-guatemala-la-madera-que-canta/,https://musicartes.org/historia-de-la-marimba-en-guatemala-la-madera-que-canta/,https://musicartes.org/historia-de-la-marimba-en-guatemala-la-madera-que-canta/,21,2233,7.4,🟡 Media - crecer,"21 clicks, 2,233 imp, pos 7.4. Post reciente con buena tracción. Vincular con /dia-nacional-de-la-marimba/."
P1,Blog,MANTENER,create_or_migrate,/es-posible-aun-vivir-de-la-musica-unicamente/,/es-posible-aun-vivir-de-la-musica-unicamente/,https://musicartes.org/es-posible-aun-vivir-de-la-musica-unicamente/,https://musicartes.org/es-posible-aun-vivir-de-la-musica-unicamente/,17,2598,4.6,🟡 Media-alta,"17 clicks, 2,598 imp, pos 4.6. Tema evergreen de alta intención. Mantener y actualizar."
P1,Blog,MANTENER,create_or_migrate,/la-importancia-de-la-guitarra-electrica/,/la-importancia-de-la-guitarra-electrica/,https://musicartes.org/la-importancia-de-la-guitarra-electrica/,https://musicartes.org/la-importancia-de-la-guitarra-electrica/,16,2329,8,🟡 Media,"16 clicks, 2,329 imp, pos 8.0. Steady performer. Actualizar con más profundidad."
P1,Blog,MANTENER,create_or_migrate,/como-tocar-en-festivales-y-que-tomar-en-cuenta/,/como-tocar-en-festivales-y-que-tomar-en-cuenta/,https://musicartes.org/como-tocar-en-festivales-y-que-tomar-en-cuenta/,https://musicartes.org/como-tocar-en-festivales-y-que-tomar-en-cuenta/,15,2044,6.1,🟡 Media,"15 clicks, 2,044 imp, pos 6.1. Útil y evergreen. Mantener."
P1,Blog,REESCRIBIR,rewrite,/distribucion-digital-de-musica/,/distribucion-digital-de-musica/,https://musicartes.org/distribucion-digital-de-musica/,https://musicartes.org/distribucion-digital-de-musica/,16,1106,6,🟡 Media - actualizar,"16 clicks, 1,106 imp, pos 6.0. Tema muy competido pero relevante. Actualizar con plataformas 2025-2026."
P1,Blog,MANTENER,create_or_migrate,/tu-musica-en-oidos-del-mundo-la-guia-completa-del-pitching-en-spotify/,/tu-musica-en-oidos-del-mundo-la-guia-completa-del-pitching-en-spotify/,https://musicartes.org/tu-musica-en-oidos-del-mundo-la-guia-completa-del-pitching-en-spotify/,https://musicartes.org/tu-musica-en-oidos-del-mundo-la-guia-completa-del-pitching-en-spotify/,12,3087,5.6,🟡 Media - crecer,"12 clicks, 3,087 imp, pos 5.6. Post reciente con buen potencial. URL larga pero descriptiva."
P1,Blog,REESCRIBIR,rewrite,/12-formas-de-ingresos-para-musicos/,/12-formas-de-ingresos-para-musicos/,https://musicartes.org/12-formas-de-ingresos-para-musicos/,https://musicartes.org/12-formas-de-ingresos-para-musicos/,12,1401,6.2,🟡 Media - actualizar,"12 clicks, 1,401 imp. Tema evergreen de alta intención comercial. Actualizar con ingresos digitales 2025."
P1,Blog,MANTENER,create_or_migrate,/bandsintown-la-herramienta-que-todo-artista-independiente-debe-dominar/,/bandsintown-la-herramienta-que-todo-artista-independiente-debe-dominar/,https://musicartes.org/bandsintown-la-herramienta-que-todo-artista-independiente-debe-dominar/,https://musicartes.org/bandsintown-la-herramienta-que-todo-artista-independiente-debe-dominar/,11,2661,5.4,🟡 Media,"11 clicks, 2,661 imp, pos 5.4. Post útil y relativamente reciente."
P1,Blog,MANTENER,create_or_migrate,/como-crear-expectativa-y-hype-para-tu-lanzamiento-musical/,/como-crear-expectativa-y-hype-para-tu-lanzamiento-musical/,https://musicartes.org/como-crear-expectativa-y-hype-para-tu-lanzamiento-musical/,https://musicartes.org/como-crear-expectativa-y-hype-para-tu-lanzamiento-musical/,11,1748,7.4,🟡 Media,"11 clicks, 1,748 imp, pos 7.4. Temática de lanzamiento, evergreen."
P1,Blog,MANTENER,create_or_migrate,/como-iniciarte-en-la-industria-musical-guia-paso-a-paso/,/como-iniciarte-en-la-industria-musical-guia-paso-a-paso/,https://musicartes.org/como-iniciarte-en-la-industria-musical-guia-paso-a-paso/,https://musicartes.org/como-iniciarte-en-la-industria-musical-guia-paso-a-paso/,11,1730,6.3,🟡 Media,"11 clicks, 1,730 imp, pos 6.3. Buen post guía. Mantener y vincular desde homepage."
P1,Blog,REESCRIBIR,rewrite,/estrategia-de-lanzamiento-musical-para-artistas-independientes-en-2025/,/estrategia-de-lanzamiento-musical-para-artistas-independientes-en-2026/,https://musicartes.org/estrategia-de-lanzamiento-musical-para-artistas-independientes-en-2025/,https://musicartes.org/estrategia-de-lanzamiento-musical-para-artistas-independientes-en-2026/,6,3098,7.8,🟡 Media - desactualizar año,"6 clicks, 3,098 imp, pos 7.8. Año en URL ya desactualizado. Reescribir para 2026 con nueva URL."
P1,Blog,MANTENER,create_or_migrate,/editoras-musicales-vs-disqueras-que-necesita-saber-un-artista-independiente/,/editoras-musicales-vs-disqueras-que-necesita-saber-un-artista-independiente/,https://musicartes.org/editoras-musicales-vs-disqueras-que-necesita-saber-un-artista-independiente/,https://musicartes.org/editoras-musicales-vs-disqueras-que-necesita-saber-un-artista-independiente/,6,2080,5.1,🟡 Media,"6 clicks, 2,080 imp, pos 5.1. Tema informacional, buena posición."
P1,Blog,MANTENER,create_or_migrate,/vale-la-pena-hacer-discos-en-formato-fisico/,/vale-la-pena-hacer-discos-en-formato-fisico/,https://musicartes.org/vale-la-pena-hacer-discos-en-formato-fisico/,https://musicartes.org/vale-la-pena-hacer-discos-en-formato-fisico/,8,1420,5.5,🟡 Media,"8 clicks, 1,420 imp, pos 5.5. Debate vigente. Mantener."
P3,Blog,REESCRIBIR,rewrite,/5-formas-en-las-que-el-streaming-cambio-la-industria-musical-global/,/como-el-streaming-cambio-la-industria-musical/,https://musicartes.org/5-formas-en-las-que-el-streaming-cambio-la-industria-musical-global/,https://musicartes.org/como-el-streaming-cambio-la-industria-musical/,6,731,7.1,🟡 Media - actualizar,"6 clicks, 731 imp. Actualizar con datos 2025-26. Mejorar URL quitando el '5-formas'."
P3,Blog,MANTENER,create_or_migrate,/email-marketing-para-musicos-una-gran-oportunidad-de-promocion/,/email-marketing-para-musicos-una-gran-oportunidad-de-promocion/,https://musicartes.org/email-marketing-para-musicos-una-gran-oportunidad-de-promocion/,https://musicartes.org/email-marketing-para-musicos-una-gran-oportunidad-de-promocion/,6,705,7.7,⚪ Baja-media,"6 clicks, 705 imp. Temática en crecimiento. Mantener."
P3,Blog,MANTENER,create_or_migrate,/beneficios-largo-plazo-de-estudiar-musica/,/beneficios-largo-plazo-de-estudiar-musica/,https://musicartes.org/beneficios-largo-plazo-de-estudiar-musica/,https://musicartes.org/beneficios-largo-plazo-de-estudiar-musica/,6,545,8.5,⚪ Baja-media,"6 clicks, 545 imp. Evergreen. Vincular a talleres."
P1,Blog,MANTENER,create_or_migrate,/monetizacion-y-colaboracion-para-musicos-en-la-web/,/monetizacion-y-colaboracion-para-musicos-en-la-web/,https://musicartes.org/monetizacion-y-colaboracion-para-musicos-en-la-web/,https://musicartes.org/monetizacion-y-colaboracion-para-musicos-en-la-web/,11,865,7.1,🟡 Media,"11 clicks, 865 imp, pos 7.1. Útil y evergreen."
P1,Blog,REESCRIBIR,rewrite,/trabajar-como-musico/,/trabajar-como-musico/,https://musicartes.org/trabajar-como-musico/,https://musicartes.org/trabajar-como-musico/,5,1027,17.4,🟡 Media - posición mala,"5 clicks pero 1,027 imp con pos 17.4. Posición muy baja. Reescribir con más profundidad para subir."
P3,Blog,REESCRIBIR,rewrite,/que-es-mi-marca-personal-como-musico/,/que-es-mi-marca-personal-como-musico/,https://musicartes.org/que-es-mi-marca-personal-como-musico/,https://musicartes.org/que-es-mi-marca-personal-como-musico/,5,918,11.5,🟡 Media - posición mala,"5 clicks, 918 imp, pos 11.5. Tema relevante pero posicionando mal. Reescribir y ampliar."
P3,Blog,MANTENER,create_or_migrate,/como-dar-buenas-entrevistas/,/como-dar-buenas-entrevistas/,https://musicartes.org/como-dar-buenas-entrevistas/,https://musicartes.org/como-dar-buenas-entrevistas/,7,424,9.6,⚪ Baja,"7 clicks, 424 imp, pos 9.6. Nicho. Mantener."
REDIRECT,Blog,ELIMINAR,redirect_or_410,/steve-lacy-usa-lo-que-tienes/,/distribucion-digital-de-musica/,https://musicartes.org/steve-lacy-usa-lo-que-tienes/,https://musicartes.org/distribucion-digital-de-musica/,4,2014,6.9,🔴 Off-brand,"4 clicks pero 2,014 imp. Es una nota sobre un artista específico, no contenido institucional de Musicartes. Redirigir a contenido relacionado."
REDIRECT,Blog,FUSIONAR,merge_then_redirect,/como-incrementar-tu-base-de-fans/,/como-construir-una-base-de-fans-a-largo-plazo-en-spotify/,https://musicartes.org/como-incrementar-tu-base-de-fans/,https://musicartes.org/como-construir-una-base-de-fans-a-largo-plazo-en-spotify/,4,1230,5.5,🟡 Fusionar con similar,"4 clicks, 1,230 imp. Temática casi idéntica al post de base de fans en Spotify. Fusionar o hacer uno de los dos canónico."
P3,Blog,REESCRIBIR,rewrite,/gestion-de-redes-sociales-para-mi-proyecto-musical/,/gestion-de-redes-sociales-para-mi-proyecto-musical/,https://musicartes.org/gestion-de-redes-sociales-para-mi-proyecto-musical/,https://musicartes.org/gestion-de-redes-sociales-para-mi-proyecto-musical/,4,456,9.7,🟡 Media - reescribir,"4 clicks, 456 imp, pos 9.7. Temática muy demandada pero posicionando bajo. Reescribir con estructura 2026."
P1,Blog,MANTENER,create_or_migrate,/como-promocionar-tu-musica-en-tiktok-en-2026-guia-practica-para-artistas-independientes/,/como-promocionar-tu-musica-en-tiktok-en-2026-guia-practica-para-artistas-independientes/,https://musicartes.org/como-promocionar-tu-musica-en-tiktok-en-2026-guia-practica-para-artistas-independientes/,https://musicartes.org/como-promocionar-tu-musica-en-tiktok-en-2026-guia-practica-para-artistas-independientes/,3,2027,7.3,🟡 Media - post nuevo,"3 clicks, 2,027 imp, pos 7.3. Post reciente con mucho potencial. URL un poco larga."
P3,Blog,REESCRIBIR,rewrite,/9-tendencias-musicales-que-todo-artista-debe-conocer-en-2025/,/tendencias-musicales-2026/,https://musicartes.org/9-tendencias-musicales-que-todo-artista-debe-conocer-en-2025/,https://musicartes.org/tendencias-musicales-2026/,3,967,6,🟡 Media - año obsoleto,"3 clicks, 967 imp. Año 2025 ya obsoleto. Actualizar o crear versión 2026."
P3,Blog,REESCRIBIR,rewrite,/propiedad-intelectual-en-guatemala/,/propiedad-intelectual-en-guatemala/,https://musicartes.org/propiedad-intelectual-en-guatemala/,https://musicartes.org/propiedad-intelectual-en-guatemala/,3,314,11,🟡 Core topic - mejorar,"3 clicks, 314 imp, pos 11.0. Tema core de Musicartes pero posicionando mal. Reescribir con autoridad."
REDIRECT,Blog,FUSIONAR,merge_then_redirect,/el-cuidado-de-la-salud-de-los-musicos/,/tu-salud-como-musico-en-2026-la-guia-completa-que-necesitas-conocer/,https://musicartes.org/el-cuidado-de-la-salud-de-los-musicos/,https://musicartes.org/tu-salud-como-musico-en-2026-la-guia-completa-que-necesitas-conocer/,3,391,6.1,🟡 Fusionar con versión 2026,3 clicks. Tema duplicado con post nuevo de salud 2026. Fusionar o redirigir.
REDIRECT,Blog,FUSIONAR,merge_then_redirect,/por-que-debes-proteger-tus-oidos-si-eres-musico/,/tu-salud-como-musico-en-2026-la-guia-completa-que-necesitas-conocer/,https://musicartes.org/por-que-debes-proteger-tus-oidos-si-eres-musico/,https://musicartes.org/tu-salud-como-musico-en-2026-la-guia-completa-que-necesitas-conocer/,3,366,6.6,🟡 Fusionar o mantener,3 clicks. Subtema de salud del músico. Puede fusionarse con el post guía de salud 2026.
P1,Blog,REESCRIBIR,rewrite,/sencillos-ep-o-lp-cual-es-la-mejor-opcion/,/sencillos-ep-o-lp-cual-es-la-mejor-opcion/,https://musicartes.org/sencillos-ep-o-lp-cual-es-la-mejor-opcion/,https://musicartes.org/sencillos-ep-o-lp-cual-es-la-mejor-opcion/,0,15680,10.4,🟡🔥 0 clicks / 15K imp - URGENTE,"0 clicks pero 15,680 imp! Posición 10.4. Gran oportunidad: está a punto de la primera página. Reescribir urgente."
P1,Blog,REESCRIBIR,rewrite,/22-de-noviembre-dia-internacional-del-musico/,/dia-internacional-del-musico/,https://musicartes.org/22-de-noviembre-dia-internacional-del-musico/,https://musicartes.org/dia-internacional-del-musico/,2,4323,13.6,🟡 Alto potencial - pos baja,"2 clicks, 4,323 imp, pos 13.6. El volumen es alto pero posiciona en pág 2. Reescribir con URL sin fecha."
REDIRECT,Blog,FUSIONAR,merge_then_redirect,/guia-para-mas-plays-en-spotify/,/como-conseguir-mas-oyentes-mensuales-en-spotify/,https://musicartes.org/guia-para-mas-plays-en-spotify/,https://musicartes.org/como-conseguir-mas-oyentes-mensuales-en-spotify/,2,504,7.6,🟡 Duplicado Spotify,"2 clicks, 504 imp. Duplicado temático con /como-conseguir-mas-oyentes-mensuales/. Fusionar."
REDIRECT,Blog,FUSIONAR,merge_then_redirect,/como-conseguir-mas-oyentes-mensuales-en-spotify/,/guia-completa-spotify-para-artistas/,https://musicartes.org/como-conseguir-mas-oyentes-mensuales-en-spotify/,https://musicartes.org/guia-completa-spotify-para-artistas/,1,854,15.3,🟡 Fusionar Spotify,"1 click, 854 imp, pos 15.3. Muy baja posición. Fusionar con guía de plays en Spotify. Nueva URL canónica."
